text,label
"They have no memories of what happened in the Great Void, so you can assume that they start with the same motivation as their DW selves developed. They don't ever ""think"" about the source of their power... right until they feel weaker. And only then they begin to question things. They become ""out-of-sync"" with their original source (just like Kane, when he lost his courage), and in adv quests develop an entirely new source.",lore
"based on how she acted throughout her entire story, i would say that the convo was more telling her that lily would become docile compared to what she is now, since she kept saying things along the lines of [you wouldn't want that from me] instead of [i don't want to go back], kind of like a disclosure",lore
"the rosca fighting DWs in the lore videos uses the lore that the DWs was a group controlled by Kent, the current lore isn't she still fights them and split the timeline",lore
"Actually, there's this whole argument between Erwin and Tenebris in the Void that, if he doesn't change his ways, he will never become a SoulWorker. Implying he's just a supernatural currently. So how is he using his usual guns then? I thought supernaturals were, like, just firing energy beams and stuff like that, only SW's and DW's fight using actual manifested weapons",lore
"Well, that still doesn't explain how the records can contain a wealth of information Lord wouldn't know (i.e. everything from Iris' CR on in chronological order, and then some), since he disappeared from the camp early on",lore
"i thought it was a form of Lord's desire since kent artificially turned him into a desireworker and his soulweapon was a book i assumed he archived since in the corrupt records tenebris would get on him for just writing things down",lore
"tenebris was mostly told from the character's records itself since its from his PoV most of time, the only thing I think Its missing is his fight with kent, kane was with aruel, so maybe chii and kane records, or make records from anyone that's missing instead of just 2 books",lore
"Kent saw GCC as a DesireWorker farm of sorts. Maybe he had similar plans for Barber's camp (forgot the location's name), but the people there were just too weak and he had to, like, divert SJ in their usual numbers from there to give them time to get strong",lore
"So under normal circumstances, anyone that tries leaving the Void would just, like, run into a dense wall of energy preventing them from leaving?",lore
"Oh, true. Forgot that the Void is in a perpetual state of expanding. But then that begs another question: if constant influx of food supplies is on account of new territory getting taken over by the Void, then establishments such as GCC would have to travel further and further from base to find it, to get close to the edge of the circle so to speak, where the new stuff is. In all this time, no one has tried going the extra mile and just leaving the Void?",lore
"Haru and Lily's markings (arms/face) share similarities to Desire Energy poisoning, similar to the members of SFL in GCC's ""Meat Factory"".",lore
"That being said, I will also say, from the perspective of any protag before (and excluding) Ephnel, think back to the Resurrection Project dungeon. None of the protags had any Desire energy at all, which is why they had to use Poison and Flemma's horn to start up the time machine",lore
"From what I can tell, none of the playable characters (except Dhana, which is also referenced by Kent) were true soulworkers from the beginning.",lore
"Near the end of dhana's world, reive confirms martim's suspicion that she isn't ""real"". At the end of the world, Its shown that the dying Reive's body turns into information and disappear",lore
"Technically, his weapon is extremely simple dual pistols and later a pistol + folding rifle combo. But he's able to use energy projections (shield and holo-weapons) and reconstruct his weapons into other solid forms. Also, he can basically summon lasers and rockets from the sky and, more importantly, working robots (either using a rocket launcher or as part of his Exceed). Stella can summon wolf ghosts, but she basically lived with them for all of her life. Erwin… he just creates tech on the go based on his current needs.",lore
"yes, the clash between desire and soul energy created the vacuum, yohaka was born on one of them, but he dont know anything about himself other than that and there was no other like him",lore
"Teneghost stayed in the vacuum so he still has his memories; Miriam left and lost her memories, so she doesn't. Teneghost ""knows"" Kent, but not Roy... and even then he didn't know that Kent wasn't a ""normal"" person, so even if he feels something familiar on Roy, he won't piece the two things together.",lore
